movie,url,themes,violence,language,drug_use,nudity,sex,consumer_advice
The Croods A New Age,https://www.classification.gov.au/titles/croods-new-age-0,moderate,moderate,very mild,none,none,none,Mild themes and animated violence
The Departed,https://www.classification.gov.au/titles/departed-1,,,,,,,"Strong violence and coarse language, Sexual references"
The Fabelmans,https://www.classification.gov.au/titles/fabelmans,moderate,moderate,moderate,mild,none,none,Mature themes and coarse language
The Fall Guy,https://www.classification.gov.au/titles/fall-guy-14,mild,moderate,moderate,mild,none,none,Action violence and coarse language
The Father,https://www.classification.gov.au/titles/father-2,moderate,mild,moderate,none,none,none,Mature themes and coarse language
The Favourite,https://www.classification.gov.au/titles/favourite,moderate,mild,strong,none,moderate,moderate,Strong coarse language
The Holdovers,https://www.classification.gov.au/titles/holdovers,moderate,mild,moderate,mild,mild,mild,Mature themes and coarse language
The Irishman,https://www.classification.gov.au/titles/irishman-2,moderate,strong,strong,moderate,none,none,Strong violence and coarse language
The Lion King,https://www.classification.gov.au/titles/lion-king-2019,mild,mild,none,none,none,none,Mild themes and violence
The Little Mermaid,https://www.classification.gov.au/titles/little-mermaid-13,mild,mild,none,none,none,none,"Mild fantasy themes and violence, some scenes may scare young children"
The Power of the Dog,https://www.classification.gov.au/titles/power-dog,moderate,mild,mild,none,mild,mild,Mature themes
The Silence of the Lambs,https://www.classification.gov.au/titles/silence-lambs-said-be-special-edition,,,,,,,"High level violence, Medium level coarse language"
The Super Mario Bros. Movie,https://www.classification.gov.au/titles/super-mario-bros-movie,moderate,moderate,none,none,none,none,"Mild fantasy themes and animated violence, some scenes may scare young children"
The Trial of the Chicago 7,https://www.classification.gov.au/titles/trial-chicago-7,moderate,moderate,strong,mild,none,moderate,Strong coarse language
The Zone of Interest,https://www.classification.gov.au/titles/zone-interest,moderate,moderate,very mild,none,none,very mild,Holocaust themes
Thor Love and Thunder,https://www.classification.gov.au/titles/thor-love-and-thunder,moderate,moderate,mild,none,mild,mild,Fantasy themes and action violence
Top Gun Maverick,https://www.classification.gov.au/titles/top-gun-maverick,mild,moderate,moderate,none,none,very mild,Violence and coarse language
Toy Story 4,https://www.classification.gov.au/titles/toy-story-4-0,very mild,very mild,none,none,none,none,"Some scenes may scare very young children"
Venom Let There Be Carnage,https://www.classification.gov.au/titles/venom-let-there-be-carnage,moderate,moderate,moderate,none,none,none,"Science fiction themes, violence and coarse language"
Vice,https://www.classification.gov.au/titles/vice-0,moderate,moderate,moderate,mild,mild,mild,Mature themes and coarse language
West Side Story,https://www.classification.gov.au/titles/west-side-story-0,moderate,moderate,mild,mild,none,mild,Violence
Wonka,https://www.classification.gov.au/titles/wonka,mild,mild,very mild,none,none,none,"Mild thems and violence, some scenes may scare young children"
Women Talking,https://www.classification.gov.au/titles/women-talking,moderate,moderate,moderate,none,none,none,"Pervasive themes of abuse, coarse language and frequent references to sexual violence"
The Accountant,https://www.classification.gov.au/titles/accountant,moderate,strong,moderate,mild,none,none,Strong violence
Heretic,https://www.classification.gov.au/titles/heretic-6,strong,strong,very mild,none,none,mild,Strong themes and violence
Plane,https://www.classification.gov.au/titles/plane-28,strong,strong,moderate,none,none,none,Strong violence
Anora,https://www.classification.gov.au/titles/anora,moderate,moderate,strong,moderate,strong,strong,"Strong frequent coarse language, sex scenes and nudity"
Better Man,https://www.classification.gov.au/titles/better-man-1,strong,moderate,strong,strong,moderate,moderate,"Strong coarse language, drug use and mental health themes"
The Apprentice,https://www.classification.gov.au/titles/apprentice-0,moderate,strong,strong,moderate,strong,strong,"Strong sexual violence, sex scenes and coarse language"
Saturday Night,https://www.classification.gov.au/titles/saturday-night-0,strong,mild,strong,moderate,moderate,moderate,Strong crude humour and coarse language
MaXXXine,https://www.classification.gov.au/titles/maxxxine,strong,strong,moderate,moderate,moderate,strong,"Strong violence and sex scenes, blood and gore"
The Substance,https://www.classification.gov.au/titles/substance-2,high,high,moderate,none,strong,moderate,"High impact violence, blood and gore"
Saltburn,https://www.classification.gov.au/titles/saltburn,strong,moderate,strong,moderate,strong,moderate,"Strong themes, suicide references, coarse language and nudity"
Babylon,https://www.classification.gov.au/titles/babylon-2,strong,strong,strong,strong,moderate,strong,"Strong themes, sexualised imagery, violence, drug use and coarse language"
Beautiful Boy,https://www.classification.gov.au/titles/beautiful-boy-0,moderate,none,moderate,strong,none,moderate,Strong drug use
Kingsman The Golden Circle,https://www.classification.gov.au/titles/kingsman-golden-circle,moderate,strong,moderate,moderate,none,strong,Strong violence and sex
The Crow,https://www.classification.gov.au/titles/crow-11,strong,strong,moderate,mild,mild,moderate,Strong bloody violence and injury detail
Monkey Man,https://www.classification.gov.au/titles/monkey-man-0,strong,strong,moderate,moderate,mild,moderate,Strong bloody violence
Moonlight,https://www.classification.gov.au/titles/moonlight-5,moderate,moderate,moderate,moderate,none,moderate,"Drug use, coarse language, sex and violence"
Booksmart,https://www.classification.gov.au/titles/booksmart,strong,mild,moderate,moderate,mild,strong,Strong crude sexual humour and coarse language
Dallas Buyers Club,https://www.classification.gov.au/titles/dallas-buyers-club,moderate,moderate,moderate,strong,moderate,strong,"Strong sex scenes, drug use and coarse language"
Out of the Furnace,https://www.classification.gov.au/titles/out-furnace,mild,strong,strong,strong,none,moderate,"Strong violence, coarse language and drug use"
Patriots Day,https://www.classification.gov.au/titles/patriots-day,moderate,moderate,moderate,moderate,none,mild,"Coarse language, violence, mature themes and drug use"
Barbarian,https://www.classification.gov.au/titles/barbarian-2,strong,strong,moderate,none,moderate,moderate,Strong horror violence and coarse language
The Wolf of Wall Street,https://www.classification.gov.au/titles/wolf-wall-street,strong,strong,strong,high,strong,high,High impact sex scenes and drug use
X,https://www.classification.gov.au/titles/x-7,strong,high,moderate,strong,strong,strong,High impact horror violence
Avengers Infinity War,https://www.classification.gov.au/titles/avengers-infinity-war,moderate,moderate,mild,none,none,very mild,Fantasy themes and violence
Deadpool 2,https://www.classification.gov.au/titles/deadpool-2,moderate,strong,strong,moderate,moderate,moderate,Strong bloody violence and coarse langauge
Fantastic Beasts The Crimes of Grindelwald,https://www.classification.gov.au/titles/fantastic-beasts-crimes-grindelwald,moderate,moderate,very mild,none,none,none,Fantasy themes and violence
Incredibles 2,https://www.classification.gov.au/titles/incredibles-2,mild,mild,mild,none,none,none,"Mild themes, animated violence and coarse language"
Jurassic World Fallen Kingdom,https://www.classification.gov.au/titles/jurassic-world-fallen-kingdom,moderate,moderate,moderate,none,none,none,Action violence
Mission Impossible - Fallout,https://www.classification.gov.au/titles/mission-impossible-fallout,moderate,moderate,moderate,none,none,very mild,Action violence and coarse language
Venom,https://www.classification.gov.au/titles/venom-0,moderate,moderate,moderate,none,none,very mild,"Science fiction themes, violence and coarse language"
Call Me By Your Name,https://www.classification.gov.au/titles/call-me-your-name-0,mild,none,moderate,none,moderate,moderate,"Sex scenes, nudity and coarse language"
Darkest Hour,https://www.classification.gov.au/titles/darkest-hour-2,mild,very mild,moderate,none,none,none,Mild themes and coarse language
Dunkirk,https://www.classification.gov.au/titles/dunkirk-0,moderate,moderate,moderate,none,none,none,"Mature themes, violence and coarse language"
Get Out,https://www.classification.gov.au/titles/get-out-6,strong,strong,moderate,none,none,moderate,Strong themes and violence
Lady Bird,https://www.classification.gov.au/titles/lady-bird-3,moderate,none,moderate,mild,none,moderate,"Mature themes, coarse language and a sex scene"
Phantom Thread,https://www.classification.gov.au/titles/phantom-thread,moderate,none,moderate,none,very mild,none,Mature themes and coarse language
The Post,https://www.classification.gov.au/titles/post-0,mild,mild,moderate,very mild,none,very mild,Coarse language
The Shape of Water,https://www.classification.gov.au/titles/shape-water,strong,strong,moderate,none,moderate,strong,"Strong themes, violence and a sex scene"
"Three Billboards Outside Ebbing, Missouri",https://www.classification.gov.au/titles/three-billboards-outside-ebbing-missouri,strong,moderate,strong,mild,none,moderate,Strong themes and coarse language
Beauty and the Beast,https://www.classification.gov.au/titles/beauty-and-beast-16,moderate,moderate,none,none,none,none,Mild themes and violence
Despicable Me 3,https://www.classification.gov.au/titles/despicable-me-3-0,moderate,moderate,very mild,none,very mild,none,Mild themes and animated violence
Guardians Of The Galaxy Vol 2,https://www.classification.gov.au/titles/guardians-galaxy-vol2,moderate,moderate,mild,none,none,mild,Science fiction themes and violence
Jumanji Welcome to the Jungle,https://www.classification.gov.au/titles/jumanji-welcome-jungle-0,mild,mild,mild,none,none,mild,"Mild fantasy violence, sexual references and coarse language"
Spider-Man Homecoming,https://www.classification.gov.au/titles/spider-man-homecoming,mild,moderate,mild,none,none,mild,Action violence
Star Wars Episode VIII - The Last Jedi,https://www.classification.gov.au/titles/star-wars-episode-viii-last-jedi,mild,moderate,mild,none,none,none,Science fiction violence
The Fate Of The Furious,https://www.classification.gov.au/titles/fate-furious,moderate,moderate,moderate,none,very mild,mild,Action violence and coarse language
Thor Ragnarok,https://www.classification.gov.au/titles/thor-ragnarok,moderate,moderate,mild,none,very mild,mild,Action violence
Wonder Woman,https://www.classification.gov.au/titles/wonder-woman,moderate,moderate,very mild,none,very mild,mild,Mature themes and action violence
Queer,https://www.classification.gov.au/titles/queer,moderate,mild,moderate,strong,moderate,strong,Strong drug use and sex scenes
A Good Person,https://www.classification.gov.au/titles/good-person,strong,mild,moderate,strong,none,moderate,Strong themes and drug use
Cocaine Bear,https://www.classification.gov.au/titles/cocaine-bear,strong,strong,moderate,strong,none,mild,"Strong blood and gore, animale attacks, violence and drug use"
Jackass Forever,https://www.classification.gov.au/titles/jackass-forever,strong,moderate,moderate,none,strong,none,"Strong crude humour, dangerous stunts, nudity and coarse language"
Infinity Pool,https://www.classification.gov.au/titles/infinity-pool,high,high,moderate,strong,high,high,"High impact horror violence, blood and gore, sex and nudity"
Ted 2,https://www.classification.gov.au/titles/ted-2,strong,mild,strong,strong,moderate,strong,"Strong drug use, crude humour, sexual references and coarse language"
Spiderhead,https://www.classification.gov.au/titles/spiderhead,strong,strong,moderate,moderate,mild,moderate,"Strong science fiction themes, violence and suicide scenes"
Side Effects,https://www.classification.gov.au/titles/side-effects,moderate,moderate,moderate,moderate,strong,strong,Strong sex scene
Arrival,https://www.classification.gov.au/titles/arrival-7,moderate,mild,moderate,none,none,very mild,Mature themes and coarse language
Fences,https://www.classification.gov.au/titles/fences-2,mild,mild,mild,none,none,mild,"Mild themes, sexual references and coarse language"
Hacksaw Ridge,https://www.classification.gov.au/titles/hacksaw-ridge,strong,strong,mild,none,mild,very mild,"Strong battle violence, blood and gore"
Hell Or High Water,https://www.classification.gov.au/titles/hell-or-high-water-0,moderate,strong,moderate,very mild,moderate,moderate,Strong violence
Hidden Figures,https://www.classification.gov.au/titles/hidden-figures,mild,none,mild,none,none,very mild,Mild themes and coarse language
La La Land,https://www.classification.gov.au/titles/la-la-land-0,very mild,none,moderate,none,none,none,Coarse language
Lion,https://www.classification.gov.au/titles/lion-6,mild,very mild,none,mild,none,none,Mild themes
Manchester By The Sea,https://www.classification.gov.au/titles/manchester-sea-0,moderate,moderate,moderate,mild,none,moderate,"Mature themes, coarse language, violence and sexual references"
Batman V Superman Dawn of Justice,https://www.classification.gov.au/titles/batman-v-superman-dawn-justice,moderate,moderate,mild,none,mild,very mild,Intense sequences of violence and mature themes
Captain America Civil War,https://www.classification.gov.au/titles/captain-america-civil-war-0,moderate,moderate,mild,none,none,none,Action violence
Deadpool,https://www.classification.gov.au/titles/deadpool-0,moderate,strong,moderate,mild,moderate,strong,Strong bloody violence and sex scene
Fantastic Beasts And Where To Find Them,https://www.classification.gov.au/titles/fantastic-beasts-and-where-find-them,moderate,moderate,very mild,none,none,very mild,Fantasy themes and violence
Finding Dory,https://www.classification.gov.au/titles/finding-dory,very mild,none,very mild,none,none,none,Some scenes may scare young children
Rogue One A Star Wars Story,https://www.classification.gov.au/titles/rogue-one,mild,moderate,very mild,none,none,none,Science fiction violence
Suicide Squad,https://www.classification.gov.au/titles/suicide-squad,moderate,moderate,moderate,none,none,mild,"Fantasy themes, violence and coarse language"
The Jungle Book,https://www.classification.gov.au/titles/jungle-book-16,mild,mild,very mild,none,none,none,"Mild threat and violence, some scenes may scare young children"
The Secret Life Of Pets,https://www.classification.gov.au/titles/secret-life-pets,very mild,very mild,none,none,very mild,none,Very mild sense of threat and some crude humour
Zootopia,https://www.classification.gov.au/titles/zootopia,mild,mild,very mild,none,none,none,"Mild themes and threat, some scenes may scare young children"
Bridge of Spies,https://www.classification.gov.au/titles/bridge-spies,moderate,moderate,moderate,none,none,none,"Mature themes, violence and coarse language"
Brooklyn,https://www.classification.gov.au/titles/brooklyn,mild,none,moderate,none,none,moderate,Coarse language and brief sex scene
Mad Max Fury Road,https://www.classification.gov.au/titles/mad-max-fury-road,strong,strong,moderate,none,mild,none,Strong violence and post-apocalyptic themes
Room,https://www.classification.gov.au/titles/room-8,moderate,mild,moderate,none,none,mild,Mature themes and coarse language
Spotlight,https://www.classification.gov.au/titles/spotlight,moderate,mild,moderate,none,none,moderate,Mature themes and coarse language
The Big Short,https://www.classification.gov.au/titles/big-short,mild,none,moderate,very mild,moderate,none,Coarse language and nudity
The Martian,https://www.classification.gov.au/titles/martian,moderate,none,moderate,none,mild,mild,Survival themes and coarse language
The Revenant,https://www.classification.gov.au/titles/revenant-0,strong,strong,moderate,none,moderate,none,"Strong bloody violence, themes and sexual violence"
Avengers Age of Ultron,https://www.classification.gov.au/titles/avengers-age-ultron,mild,moderate,mild,none,none,mild,Action violence
Furious 7,https://www.classification.gov.au/titles/fast-furious-7,mild,moderate,mild,none,mild,mild,Action violence
Inside Out,https://www.classification.gov.au/titles/inside-out-0,mild,very mild,none,none,very mild,none,Mild themes
Jurassic World,https://www.classification.gov.au/titles/jurassic-world,mild,moderate,mild,none,none,mild,Violence
Minions,https://www.classification.gov.au/titles/minions,very mild,mild,very mild,none,very mild,very mild,Mild animated violence
Mission Impossible - Rogue Nation,https://www.classification.gov.au/titles/mission-impossible-rogue-nation,mild,moderate,mild,none,very mild,none,Action violence
Spectre,https://www.classification.gov.au/titles/spectre,moderate,moderate,mild,none,very mild,mild,Action violence
Star Wars Episode VII - The Force Awakens,https://www.classification.gov.au/titles/star-wars-episode-vii-force-awakens,moderate,moderate,mild,none,none,none,Science fiction themes and violence
The Hunger Games Mockingjay - Part 2,https://www.classification.gov.au/titles/hunger-games-mockingjay-part-2,moderate,moderate,none,none,none,none,"Mature themes, violence and horror sequence"
American Sniper,https://www.classification.gov.au/titles/american-sniper,strong,strong,moderate,none,none,moderate,Strong themes and violence
Birdman,https://www.classification.gov.au/titles/birdman-or-unexpected-virtue-ignorance,moderate,moderate,strong,moderate,moderate,moderate,Strong coarse language
Boyhood,https://www.classification.gov.au/titles/boyhood,moderate,very mild,moderate,mild,none,moderate,"Coarse language, sexual references and mature themes"
Selma,https://www.classification.gov.au/titles/selma,moderate,moderate,moderate,none,none,mild,Violence and coarse language
The Grand Budapest Hotel,https://www.classification.gov.au/titles/grand-budapest-hotel,mild,moderate,moderate,none,moderate,moderate,"Violence, sexual references, nudity and coarse language"
The Imitation Game,https://www.classification.gov.au/titles/imitation-game,moderate,mild,mild,none,none,mild,Mature themes
The Theory of Everything,https://www.classification.gov.au/titles/theory-everything-0,moderate,none,very mild,none,very mild,very mild,Mild themes
Whiplash,https://www.classification.gov.au/titles/whiplash,moderate,moderate,strong,mild,none,moderate,Strong coarse language
12 Years A Slave,https://www.classification.gov.au/titles/12-years-slave,strong,strong,mild,none,moderate,moderate,Strong themes and violence
American Hustle,https://www.classification.gov.au/titles/american-hustle-2,mild,moderate,strong,moderate,mild,moderate,Strong coarse language
Captain Phillips,https://www.classification.gov.au/titles/captain-phillips,moderate,moderate,mild,mild,none,very mild,Mature themes and violence
Gravity,https://www.classification.gov.au/titles/gravity-1,moderate,none,moderate,none,none,none,"Survival themes, disturbing images and coarse language"
Her,https://www.classification.gov.au/titles/her,moderate,none,moderate,none,moderate,strong,Strong sexual references and coarse language
Nebraska,http://classification.gov.au/titles/nebraska,mild,mild,moderate,none,none,moderate,Coarse language and sexual references
Philomena,https://www.classification.gov.au/titles/philomena,mild,none,moderate,none,none,mild,Coarse language and mature themes
Argo,https://www.classification.gov.au/titles/argo,moderate,moderate,moderate,none,mild,mild,"Coarse language, mature themes and violence"
Beasts of the Southern Wild,https://www.classification.gov.au/titles/beasts-southern-wild,moderate,moderate,mild,none,very mild,very mild,Mature themes
Django Unchained,https://www.classification.gov.au/titles/django-unchained,strong,strong,moderate,none,moderate,mild,Strong bloody violence and themes
Les Misérables,https://www.classification.gov.au/titles/les-miserables,moderate,moderate,mild,none,none,moderate,"Mature themes, violence and sexual references"
Life of Pi,https://www.classification.gov.au/titles/life-pi-0,mild,very mild,very mild,none,none,none,Mild survival themes
Lincoln,https://www.classification.gov.au/titles/lincoln,moderate,moderate,moderate,none,none,none,"Mature themes, violence and coarse language"
Silver Linings Playbook,https://www.classification.gov.au/titles/silver-linings-playbook,moderate,moderate,moderate,none,mild,moderate,"Mature themes, coarse language, sexual references and violence"
Zero Dark Thirty,https://www.classification.gov.au/titles/zero-dark-thirty,moderate,moderate,moderate,none,mild,none,"Mature themes, violence and coarse language"
A Working Man,https://www.classification.gov.au/titles/working-man,moderate,strong,moderate,moderate,none,none,Strong violence
Dope,https://www.classification.gov.au/titles/dope,moderate,moderate,strong,strong,moderate,strong,"Strong coarse language, sexual references and drug references"
Captain America The Winter Soldier,https://www.classification.gov.au/titles/captain-america-winter-soldier-0,mild,moderate,mild,none,none,very mild,Action violence
Dawn Of The Planet Of The Apes,https://www.classification.gov.au/titles/dawn-planet-apes-0,mild,moderate,moderate,none,none,none,Violence and infrequent coarse language
Guardians Of The Galaxy,https://www.classification.gov.au/titles/guardians-galaxy-0,moderate,moderate,mild,none,none,mild,Science fiction themes and violence
